año,provincia,ha_total,ha_bosque_nativo,fuente
2008,Buenos Aires,68824,2083,bqd_bninc_ha_año_2023
2008,Catamarca,12545,2840,bqd_bninc_ha_año_2023
2008,Chaco,2873,718,bqd_bninc_ha_año_2023
2008,Chubut,9287,3459,bqd_bninc_ha_año_2023
2008,Ciudad Autónoma de Buenos Aires,2,0,bqd_bninc_ha_año_2023
2008,Corrientes,8053,2880,bqd_bninc_ha_año_2023
2008,Córdoba,61542,15603,bqd_bninc_ha_año_2023
2008,Entre Ríos,77893,2037,bqd_bninc_ha_año_2023
2008,Formosa,4165,30,bqd_bninc_ha_año_2023
2008,Jujuy,2647,191,bqd_bninc_ha_año_2023
2008,La Pampa,97486,41315,bqd_bninc_ha_año_2023
2008,La Rioja,1017,70,bqd_bninc_ha_año_2023
2008,Mendoza,88527,827,bqd_bninc_ha_año_2023
2008,Misiones,1473,83,bqd_bninc_ha_año_2023
2008,Neuquén,872,136,bqd_bninc_ha_año_2023
2008,Río Negro,20349,8,bqd_bninc_ha_año_2023
2008,Salta,27391,4428,bqd_bninc_ha_año_2023
2008,San Juan,1123,120,bqd_bninc_ha_año_2023
2008,San Luis,24150,3070,bqd_bninc_ha_año_2023
2008,Santa Cruz,55299,3,bqd_bninc_ha_año_2023
2008,Santa Fe,5001,234,bqd_bninc_ha_año_2023
2008,Santiago del Estero,24633,,bqd_bninc_ha_año_2023
2008,Tierra del Fuego,7395,4846,bqd_bninc_ha_año_2023
2008,Tucumán,245,20,bqd_bninc_ha_año_2023
2009,Buenos Aires,34078,10032,bqd_bninc_ha_año_2023
2009,Catamarca,54253,7605,bqd_bninc_ha_año_2023
2009,Chaco,3442,875,bqd_bninc_ha_año_2023
2009,Chubut,368,107,bqd_bninc_ha_año_2023
2009,Ciudad Autónoma de Buenos Aires,65,5,bqd_bninc_ha_año_2023
2009,Corrientes,15560,545,bqd_bninc_ha_año_2023
2009,Córdoba,70247,21884,bqd_bninc_ha_año_2023
2009,Entre Ríos,804,,bqd_bninc_ha_año_2023
2009,Formosa,1378,,bqd_bninc_ha_año_2023
2009,Jujuy,1668,334,bqd_bninc_ha_año_2023
2009,La Pampa,24926,12386,bqd_bninc_ha_año_2023
2009,La Rioja,3980,100,bqd_bninc_ha_año_2023
2009,Mendoza,25296,244,bqd_bninc_ha_año_2023
2009,Misiones,1478,248,bqd_bninc_ha_año_2023
2009,Neuquén,209,30,bqd_bninc_ha_año_2023
2009,Río Negro,14754,1322,bqd_bninc_ha_año_2023
2009,Salta,35051,4555,bqd_bninc_ha_año_2023
2009,San Juan,1165,,bqd_bninc_ha_año_2023
2009,San Luis,486563,37445,bqd_bninc_ha_año_2023
2009,Santa Cruz,9848,0,bqd_bninc_ha_año_2023
2009,Santa Fe,3887,22,bqd_bninc_ha_año_2023
2009,Santiago del Estero,39540,8090,bqd_bninc_ha_año_2023
2009,Tierra del Fuego,35,34,bqd_bninc_ha_año_2023
2009,Tucumán,4993,804,bqd_bninc_ha_año_2023
2010,Buenos Aires,8671,1451,bqd_bninc_ha_año_2023
2010,Catamarca,15831,564,bqd_bninc_ha_año_2023
2010,Chaco,3917,973,bqd_bninc_ha_año_2023
2010,Chubut,1262,176,bqd_bninc_ha_año_2023
2010,Ciudad Autónoma de Buenos Aires,,,bqd_bninc_ha_año_2023
2010,Corrientes,820,,bqd_bninc_ha_año_2023
2010,Córdoba,10305,2233,bqd_bninc_ha_año_2023
2010,Entre Ríos,1692,802,bqd_bninc_ha_año_2023
2010,Jujuy,27145,24461,bqd_bninc_ha_año_2023
2010,La Pampa,18391,1360,bqd_bninc_ha_año_2023
2010,La Rioja,29271,,bqd_bninc_ha_año_2023
2010,Mendoza,54196,3712,bqd_bninc_ha_año_2023
2010,Misiones,546,3,bqd_bninc_ha_año_2023
2010,Neuquén,595,5,bqd_bninc_ha_año_2023
2010,Río Negro,645,8,bqd_bninc_ha_año_2023
2010,Salta,3945,379,bqd_bninc_ha_año_2023
2010,San Juan,1087,,bqd_bninc_ha_año_2023
2010,San Luis,32325,9780,bqd_bninc_ha_año_2023
2010,Santa Cruz,41,4,bqd_bninc_ha_año_2023
2010,Santa Fe,2767,18,bqd_bninc_ha_año_2023
2010,Santiago del Estero,5395,1050,bqd_bninc_ha_año_2023
2010,Tierra del Fuego,6,3,bqd_bninc_ha_año_2023
2011,Buenos Aires,3354,229,bqd_bninc_ha_año_2023
2011,Catamarca,12723,4165,bqd_bninc_ha_año_2023
2011,Chaco,8848,2526,bqd_bninc_ha_año_2023
2011,Chubut,4169,1236,bqd_bninc_ha_año_2023
2011,Ciudad Autónoma de Buenos Aires,8,1,bqd_bninc_ha_año_2023
2011,Corrientes,5876,,bqd_bninc_ha_año_2023
2011,Córdoba,71293,24569,bqd_bninc_ha_año_2023
2011,Entre Ríos,2025,34,bqd_bninc_ha_año_2023
2011,Formosa,2415,338,bqd_bninc_ha_año_2023
2011,Jujuy,1342,327,bqd_bninc_ha_año_2023
2011,La Pampa,78022,7300,bqd_bninc_ha_año_2023
2011,La Rioja,1390,,bqd_bninc_ha_año_2023
2011,Mendoza,10908,427,bqd_bninc_ha_año_2023
2011,Misiones,502,15,bqd_bninc_ha_año_2023
2011,Neuquén,10683,671,bqd_bninc_ha_año_2023
2011,Río Negro,15355,5,bqd_bninc_ha_año_2023
2011,Salta,1909,167,bqd_bninc_ha_año_2023
2011,San Juan,20136,20,bqd_bninc_ha_año_2023
2011,San Luis,18600,4218,bqd_bninc_ha_año_2023
2011,Santa Cruz,63,2,bqd_bninc_ha_año_2023
2011,Santa Fe,2490,62,bqd_bninc_ha_año_2023
2011,Santiago del Estero,10954,7388,bqd_bninc_ha_año_2023
2011,Tierra del Fuego,97,80,bqd_bninc_ha_año_2023
2012,Buenos Aires,98,0,bqd_bninc_ha_año_2023
2012,Catamarca,4651,4,bqd_bninc_ha_año_2023
2012,Chaco,7771,4317,bqd_bninc_ha_año_2023
2012,Chubut,4698,3306,bqd_bninc_ha_año_2023
2012,Ciudad Autónoma de Buenos Aires,0,0,bqd_bninc_ha_año_2023
2012,Corrientes,3557,,bqd_bninc_ha_año_2023
2012,Córdoba,11130,4036,bqd_bninc_ha_año_2023
